postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms
1012 BS Amsterdam,Bloedstraat 13,52.37292,4.899373000000001,270000,0,0,1,0,0,,1,1
1087 JC Amsterdam,Maria Austriastraat 682,52.3534,4.9999,360000,126,335,1,2006,0,appartement,22,3
1012 JS Amsterdam,Dam 5 /Z,52.373090000000005,4.89409,24700000,1047,3760,3,2017,1,appartement,20,15
1015 GR Amsterdam,Lijnbaansgracht 36 A,52.38005,4.8809260000000005,675000,124,361,4,1900,0,appartement,35,5
1060 TA Amsterdam,Samosstraat 38,52.34545,4.792311,389000,138,455,3,2002,1,woonhuis,22,4
1022 KD Amsterdam,Noorderkwartier (Bouwnr. 34),52.406040000000004,4.931375,412396,139,348,2,2016,1,woonhuis,3,5
1069 GZ Amsterdam,Ekingenstraat 112,52.35603,4.796796,189000,81,240,1,1960,0,appartement,23,3
1094 LG Amsterdam,Tweede Atjehstraat 20 IV,52.36185,4.9331309999999995,335000,61,150,1,1906,0,appartement,21,3
1068 ZT Amsterdam,Kweekhoven 3,52.364020000000004,4.804368,299000,112,285,2,2009,0,appartement,21,4
1018 AK Amsterdam,Funenpark 427,52.36873,4.930435,730000,116,370,1,2007,0,appartement,37,4
1035 PS Amsterdam,Landsmeerderdijk 39,52.4152,4.8996010000000005,615000,146,479,3,1900,1,woonhuis,39,5
1019 NA Amsterdam,Venetiëhof 36,52.37751,4.947144000000001,375000,88,215,1,1994,0,appartement,23,3
1071 CM Amsterdam,Jan Luijkenstraat 6 -3,52.36065,4.884081,475000,75,272,1,1896,0,appartement,27,2
1095 Amsterdam,John Blankensteinstraat (Bouwnr. 06),52.36629,4.940455,699000,116,432,4,2017,1,woonhuis,1,8
1055 RZ Amsterdam,Nieuwpoortstraat 94 C 15,52.38431,4.856904,245000,49,172,1,2017,0,appartement,20,1
1097 VD Amsterdam,Middenweg 486,52.3416,4.94918,345000,71,250,3,1906,1,appartement,30,3
1082 HE Amsterdam,Van Nijenrodeweg 364,52.327529999999996,4.8775319999999995,185000,35,90,1,1966,0,appartement,6,2
1062 JV Amsterdam,Postjesweg 453,52.3637,4.836130000000001,175000,70,200,1,1960,0,appartement,7,3
